"orgname_old","orgname_new"
"University, Universiteit Utrecht","Utrecht University"
"UU Faculty, Faculteit Betawetenschappen","UU Faculty: Science"
"UU Faculty, Faculteit Diergeneeskunde","UU Faculty: Veterinary Medicine"
"UU Faculty, Faculteit Geesteswetenschappen","UU Faculty: Humanities"
"UU Faculty, Faculteit Geowetenschappen","UU Faculty: Geosciences"
"UU Faculty, Faculteit REBO","UU Faculty: Law, Economics and Governance"
"UU Faculty, Faculteit Sociale Wetenschappen","UU Faculty: Social and Behavioural Sciences"
"UU Faculties / Services, Utrecht University Library","UU Faculties/Services: Utrecht University Library"
"UU Faculties / Services, Corporate Offices","UU Faculties/Services: University Corporate Offices"

"Science","UU Faculty: Science"
"Veterinary Medicine","UU Faculty: Veterinary Medicine"
"Humanities","UU Faculty: Humanities"
"Geosciences","UU Faculty: Geosciences"
"Law, Economics and Governance","UU Faculty: Law, Economics and Governance"
"Social and Behavioural Sciences","UU Faculty: Social and Behavioural Sciences"
"University College Utrecht","UU Faculty: University College Utrecht"
"Utrecht University Library","UU Faculties/Services: Utrecht University Library"
"University Corporate Offices","UU Faculties/Services: University Corporate Offices"
"Medicine","University Medical Center Utrecht"

"Universiteit Utrecht","Utrecht University"
"Utrecht, University","Utrecht University"
"Utrecht University, Utrecht, the Netherlands","Utrecht University"
