orgname_old,orgname_new
Amsterdam UMC,AUMC Amsterdam UMC
Amsterdam University Medical Centers,AUMC Amsterdam UMC
"Amsterdam UMC, Amsterdam, Netherlands",AUMC Amsterdam UMC
"AMsterdam University Medical Center",AUMC Amsterdam UMC
"UMC Amsterdam, Amsterdam, Netherlands",AUMC Amsterdam UMC
"Amsterdam University Medical Centre",AUMC Amsterdam UMC
AmsterdamUMC,AUMC Amsterdam UMC
Amsterdam University Medical Centers (Amsterdam UMC),AUMC Amsterdam UMC
"Amsterdam UMC Amsterdam, Netherlands",AUMC Amsterdam UMC
Amsterdam UMC,AUMC Amsterdam UMC
Amsterdam UMC location University of Amsterdam,AUMC Hierarchy: Affiliatie UvA
Amsterdam UMCs location University of Amsterdam,AUMC Hierarchy: Affiliatie UvA
Amsterdam UMC - University of Amsterdam,AUMC Hierarchy: Affiliatie UvA
UMC location University of Amsterdam,AUMC Hierarchy: Affiliatie UvA
AUMC University: Affiliatie UvA,AUMC Hierarchy: Affiliatie UvA
Amsterdam UMC Location Vrije Universiteit Amsterdam,AUMC Hierarchy: Affiliatie VU
AUMC University: Affiliatie VU,AUMC Hierarchy: Affiliatie VU
Amsterdam UMC - locatie VUmc,AUMC Hierarchy: Affiliatie VU
Amsterdam UMC - Vrije Universiteit Amsterdam,AUMC Hierarchy: Affiliatie VU
"Amsterdam UMC (location VUmc), Amsterdam, Netherlands",AUMC Hierarchy: Affiliatie VU
"Amsterdam University Medical Centers (location Vumc), 1081 Amsterdam, Netherlands",AUMC Hierarchy: Affiliatie VU
Amsterdam UMC De Boelelaan Site,AUMC Hierarchy: Affiliatie VU
Amsterdam University Medical Center (UMC) location Vrije Universiteit Amsterdam,AUMC Hierarchy: Affiliatie VU
Amsterdam UMC Locatie de Boelelaan,AUMC Hierarchy: Affiliatie VU
"Amsterdam UMC Locatie De Boelelaan, Amsterdam, The Netherlands",AUMC Hierarchy: Affiliatie VU
Amsterdam UMC location Vrije Universiteit,AUMC Hierarchy: Affiliatie VU
Amsterdam UMC location Vrije Universiteit Medical Center,AUMC Hierarchy: Affiliatie VU
Amsterdam UMC Location VUmc,AUMC Hierarchy: Affiliatie VU
"Amsterdam UMC-Vrije Universiteit Amsterdam, Amsterdam, Netherlands",AUMC Hierarchy: Affiliatie VU
"Amsterdam UMC, locatie VUmc",AUMC Hierarchy: Affiliatie VU
"Amsterdam UMC, VUmc",AUMC Hierarchy: Affiliatie VU
AUMC Division: Affiliatie,AUMC Hierarchy: Affiliatie
AUMC Division: Divisions,AUMC Hierarchy: Divisions
AUMC Research Institute: Research Institutes,AUMC Hierarchy: Research Institutes
Pathology Department AUMC,AUMC Department: Pathology
"Department of Radiology and Nuclear Medicine, Amsterdam UMC",AUMC Department: Radiology and Nuclear Medicine
"Department of Radiology, Amsterdam Umc, Location Vrije Universiteit",AUMC Department: Radiology and Nuclear Medicine

